iso2,pais,year,forest_area_km2,forest_area_pct_land,ghg_total_incl_lulucf_mt_co2e,co2_excl_lulucf_mt_co2e,gdp_per_capita_const2015_usd,gdp_per_capita_ppp_const2021_intl,population_total,internet_users_pct_pop,mobile_subscriptions_per100,agriculture_va_pct_gdp,manufacturing_va_pct_gdp,services_va_pct_gdp,child_employment_pct_7to14,renewable_energy_pct_final_energy,renewable_electricity_output_pct,rd_expenditure_pct_gdp,account_ownership_pct_adults,domestic_credit_private_pct_gdp,wgi_voice_accountability_est,wgi_government_effectiveness_est,wgi_rule_of_law_est,wgi_control_corruption_est,wgi_regulatory_quality_est,wgi_political_stability_est,tax_revenue_pct_gdp,natural_resources_rents_pct_gdp,vulnerable_employment_pct_total,stock_market_cap_pct_gdp,trade_pct_gdp,fdi_inflows_pct_gdp,co2_emissions_kt
CR,Costa Rica,2011,28875.66,56.5524089306698,17.5438,7.6984,10612.4694861141,19254.9142153099,4609833.0,39.2121959961842,90.0914848759163,5.59987212230861,14.2961414838857,63.1820860244227,2.5,38.0,90.5269528071603,0.46235,50.358727770345,46.0200427541641,1.110229,0.3641095,0.4626021,0.6579069,0.5711371,0.6316858,13.2089868654328,1.26384990129987,23.6826340732098,3.5040421302319,68.6391465074016,6.39172539644787,
CR,Costa Rica,2012,29039.32,56.8729338033686,18.2616,7.6394,11001.5192856576,19960.7933253035,4663934.0,47.5,115.312137778965,5.13084191429059,13.8778882377201,64.286092711917,,38.1,90.9420090426578,0.54713,,47.4513205823866,1.0972617,0.4335446,0.4471085,0.670503,0.6859128,0.655542,13.1052960656825,1.2425772572914,24.9781285769893,,67.0485392950976,5.70866124854743,
CR,Costa Rica,2013,29202.98,57.1934586760674,19.2553,7.9353,11151.1437869768,20232.2670799446,4716147.0,45.96,150.800664186252,4.78335093294853,12.8426334917159,65.5704372632595,,37.8,87.46634098681,0.54253,,49.7299243611404,1.08912,0.3382818,0.4576895,0.6633217,0.7356994,0.6591343,13.416824749449,1.34122901696494,27.2362890193681,3.82724764327654,64.0664105879442,6.29127735209415,
CR,Costa Rica,2014,29366.64,57.5139835487662,13.3128,8.0462,11422.6735793176,20724.9217693423,4767119.0,53.0,147.26739567441,4.88788378983139,12.2879019689087,66.3984214219483,,37.6,88.9891357541353,0.55627,64.5530648301076,53.0984453119681,1.1415848,0.3669615,0.5463937,0.7809898,0.524805,0.6803966,13.0455889626388,1.387670718648,26.6272496600503,4.90491376893806,65.1912420532368,6.23293662208767,
CR,Costa Rica,2015,29530.3,57.8345084214649,14.8184,7.7578,11714.7105980732,21254.7840932049,4818038.0,59.7629501371681,156.403893036958,4.74911042904841,11.6070817090569,67.2979590735582,,38.3,98.3893821679615,0.43665,,55.1272484302094,1.1586172,0.3596651,0.5212516,0.7699694,0.6166595,0.7458992,13.2539942164455,1.13397448273593,26.5333002960316,4.16980847885031,60.753561939521,5.23639457671538,
CR,Costa Rica,2016,29694.0,58.1551116333725,13.5278,8.2325,12084.4351325634,21925.6000803999,4866998.0,65.8804491942718,171.166374015358,4.9143557868633,11.6051648163289,67.455208004105,1.31,34.1,97.2188071716063,0.44335,,58.638053772552,1.1385772,0.315527,0.5143501,0.8034365,0.6548876,0.7331119,13.5108543354557,1.23322083330008,24.8440335030415,4.95827999336993,62.1784781768295,4.45296211770326,
CR,Costa Rica,2017,29857.7,58.4757148452801,12.4456,8.396,12468.5654531709,22622.5534502517,4913177.0,71.5816646195022,179.931274611112,4.69977633159901,11.7340016097056,68.3430015552082,,33.3,98.7375187109272,0.42587,67.8383576314763,59.6859060134447,1.1764736,0.3339142,0.54111,0.5853521,0.5457847,0.7405908,13.244102554611,1.13383955527767,24.492541574141,4.9751433972405,65.0719537438815,4.83327522078441,
CR,Costa Rica,2018,30021.3,58.7961222091657,12.925,8.4405,12679.5253643016,23005.3121471794,4957818.0,73.4797284369906,171.357339055205,4.48382833722173,11.9243306402559,68.6706106301098,,33.1,97.7038451523305,0.37144,,60.304459465327,1.2067174,0.3528682,0.518591,0.6496945,0.6513804,0.6346654,13.1821486851432,0.945537295658598,24.6291977643677,3.84670562842237,66.945342016636,4.829438721344,
CR,Costa Rica,2019,30185.0,59.1167254210732,12.7796,8.193,12877.650101079,23364.783127574,4999553.0,81.2025964435269,144.514079558713,4.20205116302465,12.0464449459211,69.2049940233732,,33.4,98.3322600295884,,,56.1781065050745,1.1972153,0.3043657,0.5808637,0.7249661,0.6689887,0.6261254,13.320132922918,0.759689840900586,25.2783664801008,3.4421455821892,65.7605300176622,4.22094016659811,
CR,Costa Rica,2020,30348.7,59.4373286329808,11.2744,7.1754,12242.2098908533,22211.8613921698,5034320.0,80.53018608,142.481526800044,4.34422556035497,12.790846486792,68.2324072882969,,36.4,98.9419387842101,0.33002,,60.1355330868076,1.2021175,0.2258033,0.6316985,0.756375,0.5391413,0.9250217,12.2380289918782,0.904748239780319,25.7975182166931,3.04713741373833,60.1398862509533,3.37043523313038,
