iso2,year,tecnologia
HT,2010,0.510032648209877
HT,2011,0.5042913173945
HT,2012,0.496535621316513
HT,2013,0.401081472168565
HT,2014,0.395247962665456
HT,2015,0.0540897947609682
HT,2016,0.0533385459923607
HT,2017,0.0547433413627265
HT,2018,0.054021204554274
HT,2019,0.053596691917084
HT,2020,0.0533625143278351
HT,2021,0.0527491725852703
HT,2022,0.0117963010902842
HT,2023,
HT,2024,
HT,2025,
HN,1990,1.77
HN,1991,1.84
HN,1992,1.99
HN,1993,2.16
HN,1994,2.35
HN,1995,2.8
HN,1996,3.22
HN,1997,3.85
HN,1998,4.0
HN,1999,4.36
HN,2000,4.54124823097422
HN,2001,4.5827511215238
HN,2002,4.64769495964682
HN,2003,4.69714840671293
HN,2004,5.30640249875531
HN,2005,6.60145178986555
HN,2006,9.33945004931543
HN,2007,10.4820188089087
HN,2008,10.3058974585861
HN,2009,8.74656696010537
HN,2010,8.04935238118462
HN,2011,7.19249493857738
HN,2012,7.00517126873019
HN,2013,6.96451387840497
HN,2014,5.81851375276643
HN,2015,5.38113659774144
HN,2016,4.70581298247627
HN,2017,5.12202735526203
HN,2018,5.44795247618843
HN,2019,4.92881223593027
HN,2020,5.25476202710768
HN,2021,4.52406768321915
HN,2022,3.95585878726345
HN,2023,4.16936789439326
HN,2024,4.24748397401998
HN,2025,
MX,1990,6.47
MX,1991,7.14
MX,1992,7.85
MX,1993,8.69
MX,1994,9.51
MX,1995,9.69
MX,1996,9.55
MX,1997,9.84
MX,1998,10.4
MX,1999,11.3
MX,2000,12.5035305252335
MX,2001,13.7605094727176
MX,2002,14.7467138501059
MX,2003,15.8577408112751
MX,2004,17.3125038992853
MX,2005,18.4403616453651
MX,2006,18.5180607253089
MX,2007,18.3847581360166
MX,2008,18.5654017537128
MX,2009,17.4157335624077
MX,2010,17.5303293378563
MX,2011,17.3517806261774
MX,2012,17.6237937154455
MX,2013,15.7114818563066
MX,2014,15.4942659787332
MX,2015,16.6602203810341
MX,2016,17.030546353635
MX,2017,16.8173844522616
MX,2018,17.3769191157836
MX,2019,18.0324866978743
MX,2020,19.3222703380737
MX,2021,19.5782440964204
MX,2022,20.6175222391974
MX,2023,22.188902786539
MX,2024,22.5576706741986
MX,2025,
NI,1990,1.11
NI,1991,1.13
NI,1992,1.25
NI,1993,1.5
NI,1994,1.87
NI,1995,2.08
NI,1996,2.36
NI,1997,2.55
NI,1998,2.89
NI,1999,3.03
NI,2000,3.27485603666443
NI,2001,3.1005979961968
NI,2002,3.33271908299739
NI,2003,3.93409049344622
NI,2004,4.06758163231247
NI,2005,4.13449379972876
NI,2006,4.57406592352074
NI,2007,4.52954326377786
NI,2008,4.56260659510206
NI,2009,4.50245651054405
NI,2010,4.50243575107408
NI,2011,4.94269598255798
NI,2012,5.06877567554332
NI,2013,5.4308057778903
NI,2014,5.59844140567564
NI,2015,5.7569197210077
NI,2016,5.88249073510437
NI,2017,5.95063733419503
NI,2018,5.09088948888139
NI,2019,3.52859505060184
NI,2020,3.41378347598049
NI,2021,3.12392913433345
NI,2022,3.20517144396369
NI,2023,3.43400189899398
NI,2024,3.5400093115524
NI,2025,
PA,1990,8.8
PA,1991,9.15
PA,1992,9.48
PA,1993,10.0
PA,1994,10.8
PA,1995,11.2
PA,1996,11.7
PA,1997,12.9
PA,1998,14.5
PA,1999,15.7
PA,2000,14.2552291762239
PA,2001,12.4420067260958
PA,2002,12.3637414103403
PA,2003,11.9574946070405
PA,2004,13.066464071999
PA,2005,14.2000998482958
PA,2006,14.4682822996222
PA,2007,14.4073146394608
PA,2008,14.9686286653214
PA,2009,15.047661852086
PA,2010,14.8632161464613
PA,2011,15.1667318712172
PA,2012,15.1593826012381
PA,2013,15.0844018906609
PA,2014,15.1177217651854
PA,2015,15.6674372827513
PA,2016,16.2025829183095
PA,2017,16.165781062174
PA,2018,17.4760908475813
PA,2019,15.329444824899
PA,2020,18.8414820342858
PA,2021,20.1663136117347
PA,2022,19.1569072069839
PA,2023,17.3604359419291
PA,2024,
PA,2025,
PY,1990,2.79
PY,1991,2.9
PY,1992,3.01
PY,1993,3.26
PY,1994,3.38
PY,1995,3.64
PY,1996,3.76
PY,1997,4.55
PY,1998,5.32
PY,1999,5.36
PY,2000,5.54629133708224
PY,2001,5.56737306341995
PY,2002,5.19294748398123
PY,2003,5.27163003554347
PY,2004,5.63131301414672
PY,2005,5.87900692663879
PY,2006,6.01366212134533
PY,2007,7.09459641766195
PY,2008,6.59795346066517
PY,2009,6.82951652867206
PY,2010,6.32512781957246
PY,2011,6.34341744421739
PY,2012,6.96943263431218
PY,2013,7.31545379857232
PY,2014,6.12707710338922
PY,2015,5.59907830734443
PY,2016,5.60806423170216
PY,2017,4.64262162665295
PY,2018,4.71037819130713
PY,2019,4.18501262766962
PY,2020,3.77408919401569
PY,2021,3.05154766880974
PY,2022,2.4926839341205
PY,2023,3.00272670980426
PY,2024,
PY,2025,
PE,1990,2.56
PE,1991,2.4
PE,1992,2.67
PE,1993,2.87
PE,1994,3.23
PE,1995,4.56
PE,1996,5.78
PE,1997,6.51
PE,1998,6.04
PE,1999,6.45
PE,2000,6.45573212845573
PE,2001,5.82599386506776
PE,2002,6.070840025935
PE,2003,6.66835505823138
PE,2004,7.87585823592328
PE,2005,8.54991142720697
PE,2006,9.03540331933944
PE,2007,9.96929307620539
PE,2008,10.7086723404169
PE,2009,12.2802789553491
PE,2010,10.8639274422533
PE,2011,11.0921186895234
PE,2012,11.558158027552
PE,2013,10.7515685450752
PE,2014,10.0696424531075
PE,2015,9.55917406492961
PE,2016,9.96052224136632
PE,2017,9.83901585196342
PE,2018,9.05584259923886
PE,2019,7.60112474526803
PE,2020,6.72649081435588
PE,2021,6.4397924929278
PE,2022,5.37023294512233
PE,2023,4.44487686544465
PE,2024,4.08214157710912
PE,2025,
UY,1990,13.4
UY,1991,14.5
UY,1992,15.7
UY,1993,16.8
UY,1994,18.3
UY,1995,19.5
UY,1996,20.9
UY,1997,23.6
UY,1998,25.4
UY,1999,27.6
UY,2000,28.4471034588755
UY,2001,29.0407180145933
UY,2002,28.8676850875623
UY,2003,28.5928929356641
UY,2004,30.3580892484896
UY,2005,30.6168932649293
UY,2006,30.0004620754606
UY,2007,29.2919934218533
UY,2008,29.0501084587531
UY,2009,28.8105372329643
UY,2010,28.9939371658963
UY,2011,29.0023971804949
UY,2012,30.3097888379838
UY,2013,31.3404897623169
UY,2014,32.2644587815158
UY,2015,32.8511109059129
UY,2016,32.9527299134165
UY,2017,33.5546053963508
UY,2018,33.9820723551451
UY,2019,34.3038661770879
UY,2020,35.4070117753389
UY,2021,36.417164331799
UY,2022,37.1155791965173
UY,2023,35.5623729184751
UY,2024,35.6206600861989
UY,2025,
VE,1990,7.5
VE,1991,7.87
VE,1992,8.81
VE,1993,9.8
VE,1994,10.7
VE,1995,11.1
VE,1996,11.8
VE,1997,12.1
VE,1998,11.0
VE,1999,10.6
VE,2000,10.3396101914696
VE,2001,10.8283804889383
VE,2002,11.1723846404524
VE,2003,11.4170583117568
VE,2004,12.7044629331838
VE,2005,13.6284914203061
VE,2006,15.4888618366434
VE,2007,18.7891164074919
VE,2008,22.8767539221926
VE,2009,24.1459105604703
VE,2010,24.5821787804096
VE,2011,25.1237270436823
VE,2012,25.8807539842726
VE,2013,25.9886518536685
VE,2014,25.809822206123
VE,2015,25.446795071311
VE,2016,24.8991962482919
VE,2017,19.3968635633263
VE,2018,18.6103292074046
VE,2019,18.4922727126019
VE,2020,18.4614252028639
VE,2021,11.4119373070717
VE,2022,9.51114870132464
VE,2023,8.4448476360466
VE,2024,8.50508296919372
VE,2025,
