iso2,year,indice_riesgo_climatico,PIBpc,renta_rec_nat,impuestos_ambientales,protec_der_lab
CU,2003,,3202.781098656367,1.92021874871511,5.364958886780519,
CU,2004,,3399.219628934021,2.70599089783315,5.6070103620314695,
CU,2005,,3786.3379922529116,2.637736541097,3.1762482075348717,
CU,2006,,4329.982659643831,3.74613117909438,3.035399842127634,
CU,2007,,4807.438889606839,6.72039794760689,3.0327450201464163,
CU,2008,,4986.12436479175,3.18662044497083,3.9610793686711547,
CU,2009,,5089.235197571668,1.7631346184052,3.886958483754513,
CU,2010,,5272.2675582483525,2.69060313010367,3.2365925159510263,
CU,2011,,6104.461052361658,2.92694825350704,3.2270833333333333,
CU,2012,,6470.83673392653,2.18752036209115,3.713696548730193,
CU,2013,,6828.364282453959,1.71188160483376,4.437931034482759,
CU,2014,,7146.704590513279,1.66734771791981,4.020241660642363,
CU,2015,,7727.919972079983,0.693800859230045,3.955293769716088,
CU,2016,,8110.558742836164,0.469100172114536,3.9688630364649526,
CU,2017,,8610.608296054288,0.66367803344131,3.8429321918474564,
CU,2018,,8911.462059987256,1.10185419907902,3.646254259250372,
CU,2019,,9232.261159351829,0.920750895009186,4.183625289201568,
CU,2020,,9605.27914559614,0.565351678337536,4.52800156242371,
CU,2021,,,,4.770739996910243,
CU,2022,,,,,
CU,2023,,,,,
CU,2024,,,,,
CU,2025,,,,,
DO,1990,,989.1639412076594,2.01017458840216,10.045662100456621,
DO,1991,,1345.846736906233,1.40795463511044,13.571428571428571,
DO,1992,,1558.2978207107537,0.802566480155784,9.96968075619761,
DO,1993,,1722.4199599398096,0.270241819529112,21.603563474387528,
DO,1994,,1891.6705567900046,0.793311412444342,10.143910143910144,
DO,1995,,2109.169407286892,1.14002177756892,11.689017760057991,
DO,1996,,2270.865586872028,0.70339446524712,13.568745304282496,
DO,1997,,2448.8939353536302,0.503240742590817,9.788577704557936,
DO,1998,,2607.854573214045,0.0481131529630172,11.217614121666507,
DO,1999,,2620.889681727205,0.190528242624742,14.212786646138886,
DO,2000,,2831.458836380334,0.341026792433444,7.8800515581166115,
DO,2001,,2935.893673126681,0.0227890061773118,6.566449309113493,
DO,2002,,3065.6032952419596,0.0276477786257098,7.713327146834178,
DO,2003,,2383.2617178039336,0.541632394719868,10.303969359331475,
DO,2004,,2451.691616165686,1.21413014952002,14.062265566391599,
DO,2005,,3878.312067352443,0.721035390362793,15.032873011107775,
DO,2006,,4055.142703473711,1.6062343112117,13.249716874292186,
DO,2007,,4649.645588758138,2.52804800376544,12.287274975951629,
DO,2008,,5023.585134035155,0.234147045628384,10.195473813756324,
DO,2009,,4973.951869999516,0.123503913034202,11.37429070274989,
DO,2010,,5478.6247039895425,0.172400177111422,10.339650737782591,
DO,2011,,5826.510141091945,0.340210817624619,10.408380952380952,
DO,2012,,6013.819650026031,0.446840708804603,11.81956843038723,
DO,2013,,6136.594293293015,1.02972097005091,12.671273835044566,
DO,2014,,6496.451669711419,1.03750954514513,9.608004640371231,
DO,2015,,6800.953093954736,0.535347858231712,7.764836630362303,
DO,2016,,7160.442009823075,1.2819479321571,11.281656363248773,
DO,2017,,7412.715715715117,1.03534454096242,15.164417113971545,
DO,2018,,7882.982215849437,0.868889463505184,13.83710976837865,
DO,2019,,8183.016236003749,1.05544444208182,12.186899686079746,
DO,2020,,7135.222732558986,1.23931109405337,15.585907200598104,
DO,2021,,8527.075485820502,2.07711318519727,17.056612708799722,
DO,2022,,10104.244934908073,,,
DO,2023,,10630.431743829022,,,
DO,2024,,10875.661844309196,,,
DO,2025,,,,,
EC,1990,,1455.0074851087052,12.9915656856879,78.54780280359111,
EC,1991,,1587.3604999667193,7.24141251846212,72.77028964726125,
EC,1992,,1655.4461319263166,7.57641297443625,69.12173429683158,
EC,1993,,1697.8888414144515,6.94166997844564,78.39697746592903,
