iso2,year,superficie_forestal,co2_emissions_moreno,vab_manufactura,vab_agricultura,vab_servicios,huella_ecologica,impuesto_medioambiental_moreno
CL,2024,43825868,77.8226,28031372538.265656,3.9123635123516083,180419277634.8271,619834910010704.0,
CL,2025,43867052,,,,,,
CO,1990,14988446,53.2018,21558389806.681847,17.06678100070274,58601047407.90796,184047671900165.0,
CO,1991,14966993,55.0259,21610706883.466793,17.454798161242806,60472732962.51124,183963173384463.0,
CO,1992,14945436,58.3317,21161592626.186295,16.793943391758607,64075162006.69085,186253043014824.0,
CO,1993,1492377,61.6574,20895845489.654728,14.967829238650184,68166577780.243034,184559374486347.0,
CO,1994,14901997,61.3112,21277012463.151745,14.831537866705546,73648025198.49947,183842774366745.0,0.600683504913073
CO,1995,14880116,63.9859,22534519358.211163,14.018065965144185,78956955247.59662,183952231814131.0,0.536941481724255
CO,1996,14858124,63.1794,22117823075.00562,12.768819026018994,84607519935.68562,183553461552141.0,0.603930855168082
CO,1997,14836024,68.3639,22210423649.681503,12.60647114921865,88960291253.56314,183730631248614.0,0.489528309474443
CO,1998,14813812,68.74,22146453244.922066,13.235789654803293,89163469382.84488,1845004007443.0,0.625847943252299
CO,1999,14791487,60.2407,20292679153.72635,13.000771517145399,85749949202.6474,18373793073349.0,0.977882151
CO,2000,14769051,63.4164,22657134552.209396,8.3057195333068,86977463526.82135,182854306404839.0,1.03765717543183
CO,2001,14754568,63.0335,23316954376.586388,8.320972676676215,88683912084.09082,179079977218274.0,1.27150229829012
CO,2002,14740062,60.5863,23815628151.54675,8.510005176848482,90750574170.35388,178791578515973.0,1.30974066338144
CO,2003,14725531,60.0512,24981739563.87461,8.328774165121446,93916203561.80608,178661795304889.0,1.24406633957659
CO,2004,14710976,60.0947,26966472907.341087,7.910983162313736,98888236836.4016,178496079938167.0,1.26271667606861
CO,2005,14696395,61.8883,28175839429.44936,7.527266701779512,102804320049.45636,177867451564288.0,0.88741205413515
CO,2006,14681791,59.0498,30230342918.11099,7.186769530717707,109492306996.3032,176347820941084.0,1.03594572898108
CO,2007,14667162,61.245,32577356933.651127,6.934558675957862,117070590945.78151,176598536776821.0,1.10643537486161
CO,2008,14652508,61.1976,32693704636.985596,6.687384850405201,120879792869.37144,176394902354169.0,0.918174166663804
CO,2009,14637829,65.3215,31495578601.08049,6.689740696288085,122548415887.41281,174654098773631.0,0.937355268168534
CO,2010,14623126,68.1511,32088623634.37781,6.32485387641069,128890277534.9982,174087034096321.0,0.955709595640352
CO,2011,1461446,73.1683,33881618335.293945,6.09169610822215,137183425116.24944,172304314656305.0,0.824024726742641
CO,2012,14605777,73.6027,34162822345.54747,5.582687053549325,143133935398.07343,172497953583299.0,0.774887477187843
CO,2013,1459708,83.6349,34678545394.18364,5.392714954494723,150924490079.02716,175847908070074.0,0.828160915840496
CO,2014,14588364,84.9188,35680813384.036674,5.446957214744208,159235144524.72995,176550963294543.0,0.771619324469329
CO,2015,14579633,86.2165,36395677015.809586,5.980424808498158,164988337855.1309,176523881072019.0,0.880238748968012
CO,2016,14550704,88.4935,37569001660.40828,6.606412266057871,168909146039.59967,176095640907269.0,0.883308156791286
CO,2017,14521729,80.9994,36886598673.13934,6.389663552681182,173214375789.31775,173932123487115.0,0.865221065544598
CO,2018,14492708,85.3965,37430770376.50934,6.225709689600331,179546389825.6491,174676847333247.0,0.858559818487834
CO,2019,14463643,86.0607,37880477957.10934,6.410720821683137,187464963452.90503,175156411187911.0,0.862378041389156
CO,2020,14434533,84.3026,34376916708.7366,7.508480466633483,178007244659.2809,174253567890751.0,0.775216230672712
CO,2021,14419861,92.1683,39049790611.93788,7.771873013850016,199251095218.5895,171684355673832.0,0.81844284537445
CO,2022,14405153,88.3446,42236039942.1257,8.831544736890406,214428817245.4251,172003505753419.0,0.746104696856595
