iso2,year,innovacion_financiera_access
CO,1980,0.088
CO,1981,0.081
CO,1982,0.077
CO,1983,0.077
CO,1984,0.078
CO,1985,0.083
CO,1986,0.083
CO,1987,0.083
CO,1988,0.076
CO,1989,0.072
CO,1990,0.072
CO,1991,0.072
CO,1992,0.053
CO,1993,0.069
CO,1994,0.082
CO,1995,0.106
CO,1996,0.139
CO,1997,0.186
CO,1998,0.233
CO,1999,0.297
CO,2000,0.313
CO,2001,0.3
CO,2002,0.286
CO,2003,0.325
CO,2004,0.364
CO,2005,0.423
CO,2006,0.456
CO,2007,0.526
CO,2008,0.527
CO,2009,0.541
CO,2010,0.514
CO,2011,0.53
CO,2012,0.534
CO,2013,0.542
CO,2014,0.534
CO,2015,0.481
CO,2016,0.493
CO,2017,0.522
CO,2018,0.537
CO,2019,0.536
CO,2020,0.54
BO,1980,0.012
BO,1981,0.013
BO,1982,0.013
BO,1983,0.013
BO,1984,0.013
BO,1985,0.013
BO,1986,0.013
BO,1987,0.013
BO,1988,0.013
BO,1989,0.013
BO,1990,0.013
BO,1991,0.013
BO,1992,0.013
BO,1993,0.013
BO,1994,0.017
BO,1995,0.017
BO,1996,0.017
BO,1997,0.017
BO,1998,0.017
BO,1999,0.017
BO,2000,0.017
BO,2001,0.017
BO,2002,0.017
BO,2003,0.017
BO,2004,0.017
BO,2005,0.017
BO,2006,0.017
BO,2007,0.017
BO,2008,0.017
BO,2009,0.017
BO,2010,0.017
BO,2011,0.017
BO,2012,0.017
BO,2013,0.017
BO,2014,0.017
BO,2015,0.017
BO,2016,0.017
BO,2017,0.017
BO,2018,0.017
BO,2019,0.01
BO,2020,0.01
PE,1980,0.208
PE,1981,0.27
PE,1982,0.269
PE,1983,0.311
PE,1984,0.279
PE,1985,0.307
PE,1986,0.245
PE,1987,0.252
PE,1988,0.309
PE,1989,0.262
PE,1990,0.313
PE,1991,0.27
PE,1992,0.353
PE,1993,0.364
PE,1994,0.415
PE,1995,0.358
PE,1996,0.351
PE,1997,0.418
PE,1998,0.384
PE,1999,0.391
PE,2000,0.375
PE,2001,0.398
PE,2002,0.445
PE,2003,0.489
PE,2004,0.368
PE,2005,0.43
PE,2006,0.465
PE,2007,0.486
PE,2008,0.465
PE,2009,0.506
PE,2010,0.473
PE,2011,0.429
PE,2012,0.444
PE,2013,0.534
PE,2014,0.439
PE,2015,0.404
PE,2016,0.379
PE,2017,0.453
PE,2018,0.474
PE,2019,0.505
PE,2020,0.431
