iso2,pais,year,gei_total_exclulucf_MtCO2e,renew_cons_pct_tfec,wgi_va_est,wgi_ge_est,indice_riesgo_climatico,tecnologia,informalidad,credito_privado_pct_gdp,superficie_forestal,poblacion,incertidumbre_energetica,vab_manufactura,vab_agricultura,vab_servicios,huella_ecologica,impuesto_medioambiental_moreno,co2_emissions_moreno,PIBpc,renta_rec_nat,impuestos_ambientales,protec_der_lab,innovacion_financiera_access,forest_area_km2,ghg_total_incl_lulucf_mt_co2e,gdp_per_capita_const2015_usd,trade_pct_gdp,fdi_inflows_pct_gdp,renewable_energy_pct_final_energy,domestic_credit_private_pct_gdp,wgi_voice_accountability_est
HT,Haití,2002,10.0576,79.1,-1.1636,,98.24846796,1.62646188427236,,9.82698046540635,3801.96,8607641,,1757784721.9821491,15.846504464972144,5963111702.205106,209906554495301.0,,1.9515,720.9695680425219,0.396885022338016,47.53199268738574,,0.0,3801.96,11.2058,1304.5293810385,24.9396784759828,0.0918488613041635,79.1,9.82698046540635,-1.1636075
HT,Haití,2003,10.1283,79.0,-1.06,,98.35513329,3.65300473338088,,9.67396425603749,3799.69,8759912,,1802986024.565103,16.720141598204012,6126819620.883914,210929294541714.0,,1.9374,578.9952910797085,0.518316847636601,47.66355140186916,,0.0,3799.69,11.2765,1326.47161042212,37.1973434444641,0.272084819262136,79.0,9.67396425603749,-1.0599515
HT,Haití,2004,10.073,81.1,-1.1064,,98.46467128,4.48920531301938,,8.28137380723943,3797.42,8910263,,1839917587.520908,15.85052141813374,6059640722.114826,215585831219181.0,,1.7908,683.1852981552732,0.415056574952732,47.53199268738574,,0.0,3797.42,11.2212,1286.90282128221,33.7809703531059,0.0969221359795515,81.1,8.28137380723943,-1.1063672
HT,Haití,2005,10.2609,81.1,-0.9481,,101.1438545,5.52019567228578,,8.86270292207163,3795.15,9061273,,1901841354.7019289,18.05301294203899,6114189461.580082,226357418770823.0,,1.8291,775.8457040569159,0.353534370526786,47.66187050359712,,0.0,3795.15,11.4091,1304.33303731231,34.9651045038228,0.369835650694654,81.1,8.86270292207163,-0.9480812
HT,Haití,2006,10.417,81.4,-0.7813,,101.4092702,13.020039359579,,8.47020352088079,3792.88,9216562,,1977437635.8937888,17.716303487922975,6155596087.674093,226740928821746.0,,1.8514,828.8057002895894,0.474483984535321,47.54385964912281,,0.0,3792.88,11.5652,1305.03813815611,37.0570704128996,2.10244121995639,81.4,8.47020352088079,-0.781307
HT,Haití,2007,10.9483,79.3,-0.6967,,101.3931088,26.6715144811388,,8.0621651109807,3790.61,9373296,,1973249173.2403128,19.07510627190288,6330871610.580303,227776015335678.0,,2.1838,984.5669834485212,0.403575652806683,32.9059829059829,,0.0,3790.61,12.0965,1343.61111422048,34.2825489611293,0.807269738778004,79.3,8.0621651109807,-0.696655999999999
HT,Haití,2008,11.0612,79.6,-0.5889,,101.5284934,33.5754472826656,,8.68209202650164,3788.34,9530774,,1990405314.6341376,18.432616164110573,6716370425.643464,232038313503819.0,,2.1633,1094.6605842164367,0.399712731958641,37.24279835390946,,0.0,3788.34,12.2094,1356.53400140048,36.1450381454244,0.285633151798952,79.6,8.68209202650164,-0.5888618
HT,Haití,2009,11.2224,80.3,-0.6609,,100.5785765,37.6486867698407,,8.21108523727506,3786.07,9689581,,2132727298.1642652,18.79346464355593,7112692399.30103,240797394565679.0,,2.1233,1196.8528706017953,0.337463725935536,28.71012482662968,,0.0,3786.07,12.3706,1412.89653523429,33.0964998246108,0.478313239983432,80.3,8.21108523727506,-0.6608973
HT,Haití,2010,11.885,79.0,-0.7491,,102.8124513,40.8026118567902,,7.79703967463653,3783.8,9803294,,1879679793.3080533,20.232695087692857,6776671052.814602,255629937923982.0,,2.5989,1209.727335030943,0.665741356287765,25.68162083936324,,0.0,3783.8,13.0332,1317.58389339746,44.7215241260457,1.50093014768549,79.0,7.79703967463653,-0.7490678
HT,Haití,2011,12.4396,79.0,-0.7595,,101.400314,42.360470661138,,8.51878003547406,3752.74,9914904,,1943681279.941406,20.043118899015354,7132632087.698016,27340074119638.0,,2.9444,1312.0395355201322,0.530247287448995,12.356636271529888,,0.0,3752.74,13.5878,1369.16921255852,44.1635704019387,0.91476918408797,79.0,8.51878003547406,-0.7594984
